,,,,,,,,,,,,,,,,,,,,,,,,
,Nadeo Map,,TAS Record,vs. RTA,Author(s),Date,Links,,,,,RTA Record,Player,Date,Links,,,Nadeo Set,Total Time,,Time Saved,,,
,,D-8,8.63,-0.02,Gl1tch3D,3-Jan-24,,,,,,8.65,x-ROC Marvin,17-Jan-13,,,,Don Johnson,1,1.00,0.31,,erizel,1
,,D-9,15.52,-4.04,MidnightEuphoria,27-Apr-26,,,,,,19.56,racehans,5-Oct-22,,,,Jsap,1,1.00,4.14,,Natsu18,1
,,E-0,32.64,-2.58,angry_birds_45 + DELETE_CLUB,26-Jul-23,,,,,,35.22,misiekf71,19-Sep-21,,,,Arkes,1,0.50,6.54,,oddisss,1
,,E-1,15.22,-4.81,Bice,12-Dec-22,,,,,,20.03,x-ROC Marvin,16-Feb-17,,,,Rio,1,1.00,3.57,,keby,1
,,E-2,27.99,-7.95,Winterly,11-Jun-23,,,,,,35.94,x-ROC Marvin,16-Feb-17,,,,Thoz,1,0.50,13.99,,Poutrel,1
,,E-3,23.20,-1.96,MidnightEuphoria + BdcapTAS,19-Feb-26,,,,,,25.16,JustDave,12-Oct-24,,,,Bunji,1,1.00,1.45,,evoN,1
,,E-4,19.90,-0.56,angry_birds_45,24-Jul-21,,,,,,20.46,AblazeTray,11-Apr-25,,,,GorillaKing,1,0.33,0.39,,misiekf71,1
,,E-5,34.55,-19.11,exlpt,31-Aug-22,,,,,,53.66,Wave.Ðemon,28-Jul-22,,,,Elite Runner,1,1.00,0.58,,JustDave,1
,,E-6,30.61,-0.31,Don Johnson,6-Oct-21,,,,,,30.92,alexx.,11-Feb-24,,,,Schmaniol,1,1.00,2.52,,AblazeTray,1
,,E-7,25.58,-14.62,charlie,29-Dec-25,,,,,,40.20,Wave.Ðemon,6-Jun-20,,,,Niro,1,0.50,0.98,,Softie,1
,,E-8,39.47,-3.14,plastorex + Alex,29-Jul-23,,,,,,42.61,alexx.,29-Jul-23,,,,Ibozz91,1,0.50,0.11,,SSGmatt,1
,,E-9,16.42,-0.61,DELETE_CLUB,7-Mar-23,,,,,,17.03,plastosex,20-Oct-24,,,,threadd,1,0.50,0.11,,BajitoTM,1
,,F-0,30.74,-4.14,Jsap,5-Jan-23,,,,,,34.88,Hellcat,22-Oct-24,,,,,,,,,Hardtack :D,1
