,,,,,,,,,,,,,,,,,,,,,,,,,, ,,
,Nadeo Map,,TAS Record,vs. RTA,Author(s),Date,Links,,,,,RTA Record,Player,Date,Links,,,Nadeo Set,Total Time,,Time Saved,,,,,Top 10 TMNF TAS Savings,,
,,B13,19.26,-5.65,threadd + Molosii,29-Jul-23,,,,,,24.91,Fwo.aest4s,27-Mar-25,,,,MidnightEuphoria,3,1.17,6.87,,Stix.,1,,,,
,,B14,14.18,-16.44,igntuL + faiby,28-Apr-26,,,,,,30.62,Wave.Ðemon,16-Dec-25,,,,Winterly,3,2.00,2.35,,reden.simis,1,,,,
,,B15,20.60,-17.88,igntuL + mufattmf + didiking,5-Jul-24,,,,,,38.48,Almighty Hefest,21-Dec-23,,,,GorillaKing,2,0.46,40.82,,nsc.Sativa,1,,,,
,,C01,18.73,-7.90,mufattmf + igntuL,24-Feb-24,,,,,,26.63,KarjeN,9-Mar-21,,,,Louis,2,0.46,31.70,,Jowmama',1,,,,
,,C02,30.12,-7.77,Molosii,29-Jun-23,,,,,,37.89,jan.,4-Oct-24,,,,faiby,2,1.50,8.45,,KarjeN,1,,,,
,,C03,10.03,-2.01,charlie + ezmTAS + igntuL,13-Apr-26,,,,,,12.04,Ornyx,29-Sep-19,,,,maB-TM,2,0.25,5.05,,Ornyx,1,,,,
,,C04,19.00,-15.61,charlie,28-Jan-26,,,,,,34.61,Fwo.Link,17-Aug-24,,,,trabadia,2,0.75,1.94,,racehans,1,,,,
,,C05,59.10,-44.17,threadd + mufattmf + Miku,23-Dec-23,,,,,,1:43.27,racehans,12-Jun-22,,,,Faasquit,1,0.33,39.04,,Solution,1,,,,
,,C06,28.36,-23.07,exlpt,12-Jul-23,,,,,,51.43,Wave.Ðemon,30-May-21,,,,Stuntlover,1,0.50,30.39,,Rollin,1,,,,
,,C07,27.12,-8.34,CrizpyCheese + charlie + ezmTAS,22-Aug-24,,,,,,35.46,dennis090,6-Jul-21,,,,Dacuber,1,1.00,29.75,,pastagrows,1,,,,
,,C08,11.75,-13.18,Don Johnson,21-Aug-24,,,,,,24.93,Phip-Lounge,4-Nov-25,,,,exlpt,1,1.00,23.07,,Wirtual #mot,1,,,,
,,C09,24.70,-14.51,threadd,21-Jan-23,,,,,,39.21,Phip-Lounge,16-Jul-25,,,,Vogtek,1,0.17,18.03,,Nexogg,1,,,,
,,C10,10.87,-0.78,Don Johnson + igntuL,21-Aug-25,,,,,,11.65,dennis090,20-Sep-23,,,,TTR_Mc 77,1,0.13,14.01,,,,,,,
,,C11,22.24,-23.64,Miku + charlie,23-Jan-26,,,,,,45.88,Wave.Ðemon,20-Oct-20,,,,xnferno,1,0.20,8.95,,,,,,,
,,C12,17.18,-11.69,Jsap,5-Dec-23,,,,,,28.87,Solution,1-Aug-25,,,,Sneak,1,0.13,3.27,,,,,,,
,,C13,17.36,-22.77,Don Johnson,8-Feb-22,,,,,,40.13,Wave.Ðemon,24-Jan-25,,,,Sheezu,1,0.13,3.27,,,,,,,
,,C14,36.87,-1:00.78,mufattmf + Stuntlover,22-Feb-24,,,,,,1:37.65,dennis090,20-Sep-23,,,,logout,1,0.13,3.27,,,,,,,
,,C15,27.58,-19.09,BdcapTAS + Lukalyc,14-Feb-26,,,,,,46.67,Wave.Ðemon,24-Sep-24,,,,Gl1tch3D,1,0.13,1.78,,,,,,,
,,D01,1:22.55,-53.08,threadd + Louis + Bice,12-Oct-22,,,,,,2:15.63,Wave.Ðemon,7-Nov-25,,,,LittleD3m0,1,0.13,1.78,,,,,,,
,,D02,18.26,-26.98,charlie,22-Mar-25,,,,,,45.24,raizo)),29-Jun-25,,,,Meable,1,1.00,1.56,,,,,,,
,,D03,8.61,-5.63,Don Johnson + Virtuoso + MidnightEuphoria,10-Feb-26,,,,,,14.24,Almighty Hefest,23-May-25,,,,Na'Guul,1,0.25,1.54,,,,,,,
,,D04,24.05,-17.63,mufattmf + Thoman,24-Feb-25,,,,,,41.68,Fwo.Link,24-Jan-26,,,,Oogy749,1,0.50,1.51,,,,,,,
,,D05,27.93,-29.75,Dacuber,29-Jan-25,,,,,,57.68,Wave.Ðemon,11-Sep-20,,,,plastorex,1,0.25,0.51,,,,,,,
,,D06,21.65,-34.99,charlie + goldenowl,6-Dec-24,,,,,,56.64,Fwo.aest4s,3-Oct-25,,,,gingerroar,1,0.25,0.51,,,,,,,
,,D07,19.67,-26.12,charlie + maB-TM + Sneak + Sheezu + mufattmf + logout + BdcapTAS + goldenowl,25-Sep-24,,,,,,45.79,Rollin,3-Dec-20,,,,,,,,,,,,,,
,,D08,26.93,-20.40,Lukalyc + threadd,5-Mar-24,,,,,,47.33,Phip-Lounge,12-Jan-26,,,,,,,,,,,,,,
,,D09,26.19,-14.27,Gl1tch3D + GorillaKing + Jsap + LittleD3m0 + mufattmf + maB-TM + ezmTAS + Kimura,9-Jan-26,,,,,,40.46,Fwo.Link,16-Mar-26,,,,,,,,,,,,,,
,,D10,29.37,-13.93,Virtuoso + Jsap + Thoman + mufattmf,4-Jun-23,,,,,,43.30,raizo)),23-Jan-25,,,,,,,,,,,,,,
,,D11,8.94,-0.23,faiby,1-Jan-26,,,,,,9.17,pastagrows,28-Apr-25,,,,,,,,,,,,,,
,,D12,19.51,-18.85,threadd,6-May-23,,,,,,38.36,dennis090,20-Sep-23,,,,,,,,,,,,,,
,,D13,29.59,-32.94,Bice + CrizpyCheese + mufattmf + goldenowl,23-Jun-24,,,,,,1:02.53,jan.,1-Jan-25,,,,,,,,,,,,,,
,,D14,41.94,-1:52.07,charlie + Miku + Kimura + Bice + TTR_Mc 77 + Thoman + Louis + BdcapTAS,27-Oct-25,,,,,,2:34.01,Wirtual #mot,18-Dec-25,,,,,,,,,,,,,,
,,D15,3:07.61,-3:53.85,GorillaKing + Faasquit + ezmTAS,2-Jul-24,,,,,,7:01.46,raizo)),22-Jan-25,,,,,,,,,,,,,,
,,E01,18.07,-25.50,threadd + Virtuoso,29-Jul-23,,,,,,43.57,Almighty Hefest,4-Jul-20,,,,,,,,,,,,,,
,,E02,44.43,-2:38.88,Virtuoso,27-Aug-22,,,,,,3:23.31,Nexogg,2-Apr-26,,,,,,,,,,,,,,
,,E03,2:45.62,-1:48.61,Lukalyc,14-Nov-24,,,,,,4:34.23,Fwo.aest4s,22-Jul-25,,,,,,,,,,,,,,
,,E04,42.54,-45.94,threadd + mufattmf,7-Jan-24,,,,,,1:28.48,Fwo.Link,28-Oct-24,,,,,,,,,,,,,,
